make,model,year_start,year_end,chip_type,chip_family,clonable,clone_tools,if_not_clonable_method,notes
Jeep,Renegade,2020,2020,ID88,Megamos Crypto AES (Hitag AES),No,,EEPROM AKL,Transponder key (flip key style)
Jeep,Renegade,2021,2021,ID4A (PCF7953M),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Wrangler,1998,1998,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key (first year for transponder in Wrangler)[31]
Jeep,Wrangler,1999,1999,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2000,2000,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2001,2001,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2002,2002,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2003,2003,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2004,2004,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2005,2005,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2006,2006,4D64,Texas Crypto,Yes,JMA TP21,OBD Add Key,Transponder key
Jeep,Wrangler,2007,2007,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key (new JK model uses Y164/ID46)[32]
Jeep,Wrangler,2008,2008,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2009,2009,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2010,2010,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2011,2011,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2012,2012,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2013,2013,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2014,2014,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2015,2015,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2016,2016,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2017,2017,ID46,Philips Crypto 2,Yes,CN3 clone,OBD Add Key,Transponder key
Jeep,Wrangler,2018,2018,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,"Smart key (push-button start, new JL model)[33]"
Jeep,Wrangler,2019,2019,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Wrangler,2020,2020,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
Jeep,Wrangler,2021,2021,ID4A (PCF7939),Hitag AES,No,,EEPROM AKL,Smart key (push-button start)
